iter	Passed	Remaining
400	36161	8927
401	36254	8838
402	36346	8748
403	36436	8658
404	36534	8569
405	36636	8482
406	36726	8392
407	36819	8302
408	36903	8210
409	36991	8120
410	37078	8029
411	37152	7935
412	37236	7844
413	37329	7754
414	37420	7664
415	37507	7573
416	37599	7483
417	37710	7397
418	37813	7310
419	37910	7221
420	38009	7132
421	38105	7043
422	38196	6953
423	38285	6862
424	38372	6771
425	38462	6681
426	38552	6590
427	38636	6499
428	38721	6408
429	38813	6318
430	38905	6228
431	38988	6137
432	39076	6046
433	39168	5956
434	39262	5866
435	39348	5775
436	39437	5685
437	39526	5595
438	39615	5504
439	39697	5413
440	39775	5321
441	39870	5231
442	39966	5142
443	40069	5053
444	40169	4964
445	40260	4874
446	40351	4784
447	40453	4695
448	40555	4606
449	40656	4517
450	40761	4428
451	40850	4338
452	40943	4247
453	41036	4157
454	41125	4067
455	41224	3977
456	41346	3890
457	41461	3802
458	41562	3712
459	41687	3625
460	41814	3537
461	41929	3448
462	42047	3360
463	42171	3271
464	42278	3182
465	42386	3092
466	42512	3004
467	42640	2915
468	42790	2828
469	42931	2740
470	43042	2650
471	43153	2559
472	43271	2470
473	43384	2379
474	43498	2289
475	43599	2198
476	43696	2106
477	43817	2016
478	43918	1925
479	44022	1834
480	44128	1743
481	44235	1651
482	44344	1560
483	44447	1469
484	44543	1377
485	44644	1286
486	44750	1194
487	44860	1103
488	44963	1011
489	45074	919
490	45170	827
491	45274	736
492	45376	644
493	45480	552
494	45575	460
495	45672	368
496	45773	276
497	45870	184
498	45964	92
499	46056	0
