iter	Logloss
121	0.3113856127
122	0.3106599656
123	0.3105231025
124	0.3103937454
125	0.3098525064
126	0.3096388167
127	0.3087287093
128	0.3080747601
129	0.3076432445
130	0.3072973445
131	0.3065333319
132	0.3059977978
133	0.3053407034
134	0.3048019519
135	0.3034632208
136	0.3032988333
137	0.3027426825
138	0.3021550982
139	0.3016355899
140	0.300973401
141	0.3006706752
142	0.3002860114
143	0.2999908862
144	0.2992607161
145	0.2984841386
146	0.2978136348
147	0.2970882498
148	0.296605825
149	0.2963502882
150	0.2956865794
151	0.2949951506
152	0.2943648185
153	0.2936254642
154	0.2935619635
155	0.2931757569
156	0.2927595263
157	0.2922018248
158	0.2920462245
159	0.2914053525
160	0.2908832595
161	0.2905766598
162	0.2901619891
163	0.289706446
164	0.2894099052
165	0.2889957578
166	0.2888931397
167	0.2888235556
168	0.2888152297
169	0.2888040583
170	0.2884483188
171	0.2883947972
172	0.2878342117
173	0.2876032486
174	0.2873420031
175	0.2863937354
176	0.2856552741
177	0.2852373655
178	0.2845594349
179	0.2845594314
180	0.2842479286
181	0.2839621952
182	0.282824806
183	0.2828177649
184	0.2825211723
185	0.2820555188
186	0.2817544082
187	0.2813649235
188	0.2813239645
189	0.2807069383
190	0.2804052953
191	0.2798479032
192	0.2797534879
193	0.2793172645
194	0.2789208864
195	0.2784105629
196	0.2779438768
197	0.2776501423
198	0.2776158896
199	0.2770560038
200	0.2767453431
201	0.2760881668
202	0.275304063
203	0.2744177908
204	0.2742691179
205	0.2737023085
206	0.273589648
207	0.2732786845
208	0.2726142428
209	0.2723989143
210	0.2716809655
211	0.2713140762
212	0.2706329435
213	0.2701011436
214	0.2697673142
215	0.2694062103
216	0.2692481052
217	0.2684423479
218	0.2681024558
219	0.2676676423
220	0.2673955574
221	0.2670337092
222	0.2664001495
223	0.2655838499
224	0.265319721
225	0.2647225186
226	0.2643641928
227	0.2640883697
228	0.263895763
229	0.2633039378
230	0.2629611469
231	0.2623660141
232	0.2618157724
233	0.2614147072
234	0.2610048291
235	0.2602898252
236	0.2597383693
237	0.2594359974
238	0.2589632462
239	0.2586067698
240	0.2581438101
241	0.2575663003
242	0.256926127
243	0.2561431754
244	0.2558560425
245	0.2551387137
246	0.2546869281
247	0.2545510828
248	0.2541971103
249	0.2534671873
250	0.2532839841
251	0.2528571628
252	0.2523363294
253	0.2519076745
254	0.2515228004
255	0.2510580396
256	0.2502489067
257	0.2496607668
258	0.2493057129
259	0.2488138957
260	0.2480911963
261	0.2474972501
262	0.2471638897
263	0.2466166849
264	0.2461634055
265	0.2457197326
266	0.2454726422
267	0.2448892302
268	0.2444323695
269	0.2440018567
270	0.243600524
271	0.2432523372
272	0.2428689445
273	0.2425430111
274	0.242098966
275	0.24174173
276	0.2411959426
277	0.2407462248
278	0.2404513989
279	0.2398668277
280	0.2394336773
281	0.2390238326
282	0.2387206987
283	0.2385060727
284	0.2382471254
285	0.2376696349
286	0.2372734673
287	0.2367785122
288	0.2364648559
289	0.2362454817
290	0.2359562093
291	0.2355837094
292	0.2350611049
293	0.2348590135
294	0.2344961852
295	0.2340278326
296	0.233377757
297	0.2329288156
298	0.2327805602
299	0.232588894
300	0.232286787
301	0.2319630571
302	0.2314924061
303	0.231109025
304	0.2307071751
305	0.2303532758
306	0.2298947284
307	0.2293230838
308	0.2290029985
309	0.2288758409
310	0.2286101945
311	0.2283362451
312	0.2277513285
313	0.2272514808
314	0.2268487033
315	0.2263889768
316	0.2258610348
317	0.225519824
318	0.2251880656
319	0.2246154893
320	0.2242937767
321	0.2240839543
322	0.2237283738
323	0.2235668742
324	0.2232147598
325	0.2229083586
326	0.2226467327
327	0.2223765114
328	0.2217966516
329	0.2214094595
330	0.2210157219
331	0.2209354642
332	0.2205976893
333	0.2203731996
334	0.2202916518
335	0.2200600407
336	0.219746546
337	0.219565295
338	0.2192695776
339	0.2189721086
340	0.2188571708
341	0.2186939328
342	0.2182224185
343	0.2178572316
344	0.2176176908
345	0.2172036897
346	0.2169103884
347	0.2166105382
348	0.2161992971
349	0.2158354652
350	0.2155983589
351	0.2154062008
352	0.2151813518
353	0.2149695304
354	0.2146693872
355	0.2143690235
356	0.2138986265
357	0.2136510789
358	0.2135881079
359	0.213281234
360	0.2129040084
361	0.2125486991
362	0.2123524047
363	0.2121427389
364	0.2119026605
365	0.211592154
366	0.2114986484
367	0.2112082794
368	0.2108727376
369	0.2106099749
370	0.2104310256
371	0.2102143329
372	0.2100727999
373	0.2097221571
374	0.2093388576
375	0.2089359355
376	0.2087137526
377	0.2086174895
378	0.2081313475
379	0.2079301221
380	0.2075658504
381	0.2072109357
382	0.2070742668
383	0.2067660662
384	0.2067010084
385	0.2063723928
386	0.2061182832
387	0.2057008811
388	0.2054340774
389	0.2051445658
390	0.2048912763
391	0.2045379266
392	0.2042823685
393	0.2041319547
394	0.2038254944
395	0.2036445882
396	0.2034480917
397	0.2031536877
398	0.2027648637
399	0.2024495591
400	0.2022441215
401	0.2020702677
402	0.2017184865
403	0.2014054175
404	0.2011187096
405	0.2009527365
406	0.2008136206
407	0.2004735322
408	0.2003585011
409	0.2000330674
410	0.1998757952
411	0.1997453074
412	0.1995565657
413	0.1992591286
414	0.199081583
415	0.1987794495
416	0.1986653043
417	0.1984647499
418	0.1982559321
419	0.1980358701
420	0.1978299185
421	0.1976283756
422	0.1974775114
423	0.1972960672
424	0.1970551215
425	0.196790674
426	0.1965977174
427	0.1964824365
428	0.196377638
429	0.19598791
430	0.1957181327
431	0.1956090963
432	0.1952814725
433	0.1949606854
434	0.1947580054
435	0.1946023553
436	0.194289298
437	0.1941232097
438	0.1938484847
439	0.1937582501
440	0.1936840613
441	0.1934392939
442	0.193324599
443	0.1930953797
444	0.1927683901
445	0.1925127612
446	0.1924218027
447	0.1922032849
448	0.1920320884
449	0.1917644816
450	0.1917168658
451	0.191630991
452	0.1913193642
453	0.1910002268
454	0.1908860897
455	0.1906373099
456	0.1904367027
457	0.1902321947
458	0.190035747
459	0.1896130727
460	0.1894559407
461	0.189190779
462	0.1890513328
463	0.188782398
464	0.188669021
465	0.1885481466
466	0.1884217124
467	0.1882273612
468	0.1878371849
469	0.187684481
470	0.187498368
471	0.1872785018
472	0.1870731731
473	0.1868792072
474	0.1867032726
475	0.1864581833
476	0.1862994375
477	0.1861453707
478	0.185924367
479	0.1857094513
480	0.1856037989
481	0.1854630154
482	0.1853601933
483	0.1852672512
484	0.1851731789
485	0.1850663517
486	0.1848106496
487	0.1846281749
488	0.1843685024
489	0.1840732442
490	0.1839218047
491	0.1837531941
492	0.1833957026
493	0.1833136556
494	0.1831722859
495	0.1830296494
496	0.1828654841
497	0.182603736
498	0.1824612669
499	0.1823354753
