iter	Logloss
0	0.6742704405
1	0.6596970315
2	0.6425424445
3	0.6216490612
4	0.604082536
5	0.5889065509
6	0.5750446054
7	0.564647943
8	0.5545242946
9	0.5441910897
10	0.536393381
11	0.5277720189
12	0.5186648954
13	0.5112588607
14	0.5031148014
15	0.4958642247
16	0.4909078775
17	0.4847454121
18	0.4784995522
19	0.4715274511
20	0.4672579816
21	0.4626651851
22	0.4574066692
23	0.4525470662
24	0.4488554938
25	0.4437257461
26	0.4398165073
27	0.4361699305
28	0.43301306
29	0.4300226197
30	0.4275018647
31	0.425840552
32	0.4232566002
33	0.4189721768
34	0.4146245511
35	0.4115841218
36	0.406627648
37	0.4032588795
38	0.3999666482
39	0.3967664784
40	0.3955728587
41	0.3932101994
42	0.3904684801
43	0.3884422005
44	0.3860304108
45	0.3841866096
46	0.3824486463
47	0.3809273429
48	0.379006388
49	0.3772753503
50	0.3761179899
51	0.3739062638
52	0.3724018252
53	0.3723320529
54	0.3711044108
55	0.3685383254
56	0.3678274291
57	0.3660888691
58	0.3649552861
59	0.3639763313
60	0.3627956352
61	0.3617432892
62	0.3609074408
63	0.359976923
64	0.3585181597
65	0.3573262917
66	0.3567738034
67	0.3555947592
68	0.3537089354
69	0.3521334152
70	0.3510403611
71	0.3499330959
72	0.3484215492
73	0.3471870802
74	0.3462033199
75	0.3452779704
76	0.3441129693
77	0.3432244462
78	0.34248353
79	0.3412694571
80	0.3408024314
81	0.3393583201
82	0.3386265658
83	0.3381937876
84	0.33785391
85	0.3368163397
86	0.3359119671
87	0.3353094432
88	0.3347779952
89	0.3339421899
90	0.3333746551
91	0.3327731785
92	0.3319985548
93	0.3312104507
94	0.3301312048
95	0.3299073237
96	0.329114481
97	0.3286640154
98	0.327910416
99	0.327286561
100	0.3264839129
101	0.3257494793
102	0.3254819141
103	0.3246203132
104	0.3234480573
105	0.3224687208
106	0.321946224
107	0.3219226836
108	0.3214505405
109	0.3205771991
110	0.3201203841
111	0.3188948661
112	0.3183413283
113	0.3178148844
114	0.3168491044
115	0.3164925357
116	0.3157171088
117	0.3149273214
118	0.3135394723
119	0.3122971532
120	0.3120110935
